Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Artemisia barrelieri,Scrobipalpa disjectella  Staudinger,species,accepted,"https://www.catalogueoflife.org/data/taxon/GW4R",3120786
Artemisia caerulescens gallica,Scrobipalpa gallicella  Constant,species,accepted,"https://www.catalogueoflife.org/data/taxon/BN2WG",
Artemisia californica,Ptycerata sp.,species,accepted,"https://www.catalogueoflife.org/data/taxon/GW5V",3120755
Artemisia campestris,Chionodes distinctella  Zeller; Scrobipalpa disjectella  Staudinger; Scrobipalpula psilella  Herrich-SchÃ¤ffer; Sophronia humerella  Denis & Schiff.; Sophronia sicariella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/B4PTG",3121461
Artemisia campestris borealis,Scrobipalpula artemisiella  Kearfott,species,accepted,"https://www.catalogueoflife.org/data/taxon/B44FP",
Artemisia douglasiana,Scrobipalpa sp. A,species,accepted,"https://www.catalogueoflife.org/data/taxon/67SKB",3121695
Artemisia maritima,Scrobipalpula psilella  Herrich-SchÃ¤ffer,species,synonym,"https://www.catalogueoflife.org/data/taxon/GWLR",
Artemisia princeps,Dichomeris rasilella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/GWSX",
Artemisia princeps orientalis,Dichomeris rasilella  Herrich-SchÃ¤ffer,species,synonym,"https://www.catalogueoflife.org/data/taxon/GWFY",
Artemisia rigida,Aroga rigidae  Clarke,species,accepted,"https://www.catalogueoflife.org/data/taxon/67SLH",3121574
Artemisia tridentata,Aroga trilineella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/GX2B",
Artemisia tripartita tripartita,Dichomeris juncidella  Clemens,species,accepted,"https://www.catalogueoflife.org/data/taxon/5FSM9",7222924
Artemisia vulgaris,Aroga eldorada  Keifer; Dichomeris rasilella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/GX3X",
Asclepias curassavica,Dichomeris varronia  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/H6BX",3170241
Aster,Anacampsis nonstrigella  Busck; Dichomeris agonia  Hodges; Dichomeris bilobella  Zeller; Dichomeris flavocostella  Clemens; Dichomeris juncidella  Clemens; Dichomeris leuconotella  Busck; Dichomeris levisella  Fyles; Dichomeris nonstrigella  Chambers; Dichomeris ochripalpella  Zeller; Gnorimoschema busckiella  Kearfott; Gnorimoschema gallaeasterella  Kellicott; Gnorimoschema sp. B  ; Gnorimoschema subterranea  Busck; Scrobipalpa atriplicella  Fischer v. RÃ¶sl.; Scrobipalpa salinella  Zeller,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62DZL",3093921
Aster cordifolius,Dichomeris levisella  Fyles; Dichomeris ochripalpella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/53Q78",8419409
Aster divaricatus,Gnorimoschema gallaeasterella  Kellicott,species,synonym,"https://www.catalogueoflife.org/data/taxon/5W6P8",
Aster eatonii,Dichomeris setosella  Clemens; Dichomeris stipendiaria  Braun,species,accepted,"https://www.catalogueoflife.org/data/taxon/53Q6T",5406515
