Host full name,Gelechiidae species name,Rank,COL status,COL taxon page
Baccharis halimifolia,Aristotelia ivae  Busck; Aristotelia sp.  ; Dichomeris serrativittella  Zeller; Gnorimoschema sp.  ,species,accepted,https://www.catalogueoflife.org/data/taxon/K79D
Baccharis macrantha,,species,accepted,https://www.catalogueoflife.org/data/taxon/K7D4
Baccharis nebularis,,species,accepted,https://www.catalogueoflife.org/data/taxon/7S8ZV
Baccharis neglecta,Aristotelia ivae  Busck,species,accepted,https://www.catalogueoflife.org/data/taxon/K7FJ
Baccharis pilularis,Aristotelia argentifera  Busck; Coleotechnites bacchariella  Keifer; Gnorimoschema baccharisella  Busck,species,accepted,https://www.catalogueoflife.org/data/taxon/K7JG
Baccharis serrulata,Tecia mendozella  Kieffer & JÃ¶rg.,species,accepted,https://www.catalogueoflife.org/data/taxon/K7P9
Balanites aegyptiaca,Ephysteris subdiminutella  Stainton,species,accepted,https://www.catalogueoflife.org/data/taxon/KFPN
Ballota,Brachmia ballotella  Amsel,genus,accepted,https://www.catalogueoflife.org/data/taxon/8VVFV
Bambusa,Dichomeris hastata  Meyrick,genus,misapplied,https://www.catalogueoflife.org/data/taxon/8VVG3
Bassia,Scrobipalpa traganella  ChrÃ©tien,genus,accepted,https://www.catalogueoflife.org/data/taxon/7NDZR
Bauhinia,Dichomeris eucomopa  Meyrick; Mesophleps palpigera  Walsingham,genus,accepted,https://www.catalogueoflife.org/data/taxon/9CK4T
Bauhinia vahlii,Dichomeris metatoxa  Meyrick,species,,https://www.catalogueoflife.org/data/taxon/9CPZH
Berberis vulgaris,Pseudotelphusa tessella  Hubner,species,accepted,https://www.catalogueoflife.org/data/taxon/LKBJ
Bertholletia excelsa,Stegasta variana  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/LMPJ
Beta vulgaris,Scrobipalpa atriplicella  Fischer v. RÃ¶sl.; Scrobipalpa ocellatella  Boyd,species,accepted,https://www.catalogueoflife.org/data/taxon/LNNK
Beta vulgaris maritima,Scrobipalpa ocellatella  Boyd,species,accepted,https://www.catalogueoflife.org/data/taxon/68JX7
Betula,Anacampsis blattariella  Hubner; Anacampsis populella  Clerck; Dichomeris ligulella  Hubner; Dichomeris ustalella  Fabricius; Dichomeris ventrella  Fitch; Hypatima rhomboidella  Linnaeus; Neofaculta infernella  Herrich-SchÃ¤ffer; Pseudotelphusa betulella  Busck; Teleiodes alburnella  Zeller; Teleiodes proximella  Hubner; Teleiodes wagae  Nowicki,genus,accepted,https://www.catalogueoflife.org/data/taxon/8VVK7
Betula alba,Anacampsis populella  Clerck,species,synonym,https://www.catalogueoflife.org/data/taxon/LP4G
Betula nana,Chionodes viduella  Fabricius,species,accepted,https://www.catalogueoflife.org/data/taxon/LPBR
Betula nigra,Pseudotelphusa betulella  Busck,species,accepted,https://www.catalogueoflife.org/data/taxon/LPBV
Betula papyrifera,Anacampsis innocuella  Zeller; Dichomeris ligulella  Hubner,species,accepted,https://www.catalogueoflife.org/data/taxon/BMH9N
Betula pendula,Chionodes viduella  Fabricius,species,accepted,https://www.catalogueoflife.org/data/taxon/LPCQ
Betula pubescens,Anacampsis populella  Clerck,species,accepted,https://www.catalogueoflife.org/data/taxon/LPDF
Bigelowia,Gnorimoschema coquillettella  Busck,genus,synonym,https://www.catalogueoflife.org/data/taxon/8VVKW
Bituminaria bituminosa,Iwaruna biguttella  Duponchel,species,accepted,https://www.catalogueoflife.org/data/taxon/7NFRG
Bombax ceiba,Semophylax apicepuncta  Busck,species,accepted,https://www.catalogueoflife.org/data/taxon/MF6V
Bosea yervamora,Chrysoesthia boseae  Walsingham,species,accepted,https://www.catalogueoflife.org/data/taxon/B8WNR
Brassica,Dichomeris bolize  Hodges,genus,accepted,https://www.catalogueoflife.org/data/taxon/3CWB
Brassica oleracea capitata,Dichomeris oceanis  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/N82N
Brassica oleracea,,species,synonym,https://www.catalogueoflife.org/data/taxon/N82N
Breynia vitis-idaea,Empedaula insipiens  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/6932V
Bridelia micrantha,Dichomeris eurynotus  Walsingham,species,accepted,https://www.catalogueoflife.org/data/taxon/5WR42
Bridelia ovata,Dichomeris microsphena  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/68QRP
Bridelia stipularis,Aristotelia zetetica  Meyrick; Dichomeris petalodes  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/692SV
Bridelia tomentosa,Dichomeris adelocentra  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/692T7
Bromelia pinguin,Recurvaria eromene  Walsingham; Schistonoea fulvidella  Walsingham; Taygete eromene  Walsingham,species,accepted,https://www.catalogueoflife.org/data/taxon/NCH5
Brugmansia arborea,Phthorimaea operculella  Zeller,species,accepted,https://www.catalogueoflife.org/data/taxon/NFCN
Buchanania,Palumbina glaucitis  Meyrick,genus,accepted,https://www.catalogueoflife.org/data/taxon/7NR9C
Buchanania arborescens,Palumbina glaucitis  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/78FTZ
Butea monosperma,Istrianis crauropa  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/9CQ55
Caesalpinia,Anarsia ephippias  Meyrick,genus,accepted,https://www.catalogueoflife.org/data/taxon/9CK8C
Cajanus,Anarsia ephippias  Meyrick; Dichomeris acuminatus  Staudinger; Mesophleps palpigera  Walsingham; Sitotroga cerealella  Olivier,genus,accepted,https://www.catalogueoflife.org/data/taxon/9CK8F
Cajanus cajan,Anarsia acerata  Meyrick; Anarsia ephippias  Meyrick; Anarsia omoptila  Meyrick; Aproaerema modicella  Deventer; Brachyacma palpigera  Walsingham; Dichomeris acuminatus  Staudinger; Dichomeris exallacta  Meyrick; Hypatima taphronoma  Meyrick; Mesophleps   ; Mesophleps palpigera  Walsingham,species,accepted,https://www.catalogueoflife.org/data/taxon/PBHS
