Genus,Subfamily,Status,Type species,Reference,Link to the reference,Gbif node
"Numata Busck, 1906",Unassigned,This name is accepted,"Numata bipunctella Busck, 1906","Proceedings of the United States National Museum, 30, 724",,
"Ochmastis Meyrick, 1908",Unassigned,This name is accepted,"Ochmastis chionacma Meyrick, 1908","Rec. Indian Mus., 2, 396",,
"Ochrodia Povolný, 1966","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia subdiminutella Stainton, 1867","Acta Ent. Bohemoslovaca, 63, 142",,
"Ocnodula Ponomarenko, 2009","Anacampsinae Bruand, 1850","This name is a synonym of Octonodula Janse, 1951",,,,
"Octonodula Janse, 1951","Anacampsinae Bruand, 1850",This name is accepted,"Anacampsis inumbrata Meyrick, 1914","The Moths of South Africa, 5, 263",,
"Oecocecis Guenee, 1870","Anomologinae Meyrick, 1926",This name is accepted,"Oecocecis guyonella Guenée, 1870",Annales de la Société entomologique de France (4)10: 13,,
"Oegoconiodes Matsumura, 1931","Thiotrichinae Meyrick, 1886","This name is a synonym of Polyhymno Chambers, 1874",,,,
"Oestomorpha Walsingham, 1911","Anacampsinae Bruand, 1850",This name is accepted,"Oestomorpha alloea Walsingham, 1911","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 107",,
"Oncerozancla Turner, 1933",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Onebala Walker, 1864",Unassigned,This name is provisionally accepted,,List of the specimens of lepidopterous insects in the collection of the British Museum: 6358,,
"Opacopsis Povolný, 1964","Gelechiinae Stainton, 1854","This name is a synonym of Ephysteris Meyrick, 1908",,,,
"Ophiolechia Sattler, 1996","Gelechiinae Stainton, 1854",This name is accepted,"Ophiolechia contrasta Sattler, 1996","Entomologica Scandinavica, 27, 127",,
"Organitis Meyrick, 1906",Unassigned,This name is accepted,"Organitis characopa Meyrick, 1906","Journal of the Bombay Natural History Society, 17, 151",,
"Ornativalva Gozmány, 1955","Anomologinae Meyrick, 1926",This name is accepted,"Gelechia plutelliformis Staudinger, 1859","Annales Historico-naturales Musei Nationalis Hungarici (S.N.)6: 308, and 309 [keys], 310",,
"Orphanoclera Meyrick, 1925","Gelechiinae Stainton, 1854",This name is accepted,"Orphanoclera tyriocoma Meyrick, 1925","Orphanoclera Meyrick, 1925; Treubia 6 (3-4): 430",,
"Orsodytis Meyrick, 1926","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Orsotricha Meyrick, 1914","Gelechiinae Stainton, 1854","This name is a synonym of Tecia Kieffer & Jörgensen, 1910",,,,
"Orthoptila Meyrick, 1904",Unassigned,"This name is a 	synonym of Ardozyga Lower, 1902",,,,
"Oxycryptis Meyrick, 1912","Gelechiinae Stainton, 1854","This name is a synonym of Chionodes Hübner, [1825]",,,,
"Oxylechia Meyrick, 1917","Gelechiinae Stainton, 1854",This name is accepted,"Oxylechia confirmata Meyrick, 1917","Transactions of the Entomological Society of London, 1917, 39",,
"Oxypteryx Rebel, 1911","Anomologinae Meyrick, 1926",This name is accepted,"Oxypteryx jordanella Rebel, 1911","Verhandlungen Der Zoologisch-Botanischen Gesellschaft in Wien, 61, (151)",,
"Pachnistis Meyrick, 1907",Unassigned,"This name is a synonym of Erythriastis Meyrick, 1925",,,,
"Pachygeneia Meyrick, 1923",Unassigned,This name is accepted,"Pachygeneia clitellaria Meyrick, 1923","Exotic Microlepidoptera, 3, 11",,
"Pachysaris Meyrick, 1914","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Palintropa Meyrick, 1913",Unassigned,"This name is a synonym of Photodotis Meyrick, 1911",,,,
"Paltodora Meyrick, 1894","Anomologinae Meyrick, 1926","This name is a synonym of Monochroa Heinemann, 1870",,,,
"Paltoloma Ghesquiere, 1940",Unassigned,This name is accepted,"Paltoloma paleata Ghesquière, 1940","Revue Zool. Bot. Afr., 34, 104",,
"Palumbina Rondani, 1876","Thiotrichinae Meyrick, 1886",This name is accepted,"Palumbina terebintella Rondani, 1876","Bollettino Della Società Entomologica Italiana, 8, 22",,
"Pancoenia Meyrick, 1904",Unassigned,This name is accepted,"Pancoenia periphora Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 258 [key], 389",,
"Panicotricha Meyrick, 1913",Unassigned,This name is accepted,"Panicotricha prographa Meyrick, 1913","Annals of the Transvaal Museum, 3, 296",,
"Pappophorus Walsingham, 1897","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Parabola Janse, 1950","Anacampsinae Bruand, 1850",This name is accepted,"Idiophantis butyraula Meyrick, 1913","The Moths of South Africa, 5, 127",,
"Parachronistis Meyrick, 1925","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia albiceps Zeller, 1839","Genera Insectorum, 184, 14 [key], 52",,
"Paralida Clarke, 1958","Anacampsinae Bruand, 1850",This name is accepted,"Paralida triannulata Clarke, 1958","Entomological News, 69, 1",,
"Parametanarsia Gerasimov, 1930","Apatetrinae Meyrick, 1947","This name is a synonym of Metanarsia Staudinger, 1871",,,,
"Paranarsia Ragonot, 1895",Unassigned,This name is accepted,"Paranarsia joannisiella Ragonot, 1895","Bulletin De La Société Entomologique De France, 1895, cxcv",,
"Paranoea Walsingham, 1911","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Parapodia Joannis, 1912","Anomologinae Meyrick, 1926",This name is accepted,"Parapodia tamaricicola Joannis, 1912","Bulletin De La Société Entomologique De France, 1912, 305",,
"Parapsectris Meyrick, 1911","Gelechiinae Stainton, 1854",This name is accepted,"Parapsectris tholaea Meyrick, 1911","Annals of the Transvaal Museum, 2, 230",,
"Paraschema Povolný, 1990","Gelechiinae Stainton, 1854","This name is a synonym of Symmetrischema Povolný, 1967",,,,
"Paraselotis Janse, 1960","Anacampsinae Bruand, 1850",This name is accepted,"Paraselotis pelochroa Janse, 1960","The Moths of South Africa, 6, 200",,
"Parastega Meyrick, 1912","Gelechiinae Stainton, 1854",This name is accepted,"Psoricoptera niveisignella Zeller, 1877","Transactions of the Entomological Society of London, 1911, 693",,
"Parastenolechia Kanazawa, 1985","Gelechiinae Stainton, 1854",This name is accepted,"Parastenolechia asymmetrica Kanazawa, 1985","Bull. Osaka Mus. Nat. Hist., 38, 6",,
"Paratelphusa Janse, 1958","Gelechiinae Stainton, 1854","This name is a synonym of Antoniejanse Kemal & Koçak, 2005",,,,
"Parathectis Janse, 1958","Anomologinae Meyrick, 1926",This name is accepted,"Epithectis farinata Meyrick, 1913","The Moths of South Africa, 6, 115",,
"Parelectra Meyrick, 1925","Dichomeridinae Hampson, 1918","This name is a synonym of Helcystogramma Zeller, 1877",,,,
"Parelectroides Clarke, 1952","Dichomeridinae Hampson, 1918","This name is a 	synonym of Helcystogramma Zeller, 1877",,,,
"Pauroneura Turner, 1919",Unassigned,This name is accepted,"Pauroneura brachysticha Turner, 1919","Proceedings of the Royal Society of Queensland, 31, 120",,
"Pavolechia Busck, 1914",Unassigned,This name is provisionally accepted,,"Proceedings of the United States National Museum, 47, 1–67",,
"Pectinophora Busck, 1917","Apatetrinae Meyrick, 1947",This name is accepted,"Depressaria gossypiella Saunders, 1844","J. Agric. Res., 9, 346",,
"Pelocnistis Meyrick, 1932",Unassigned,This name is accepted,"Pelocnistis xylozona Meyrick, 1932","Exotic Microlepidoptera, 4, 193",,
"Pelostola Janse, 1960","Anomologinae Meyrick, 1926","This name is a synonym of Ornativalva Gozmány, 1955",,,,
"Peltasta Bidzilya, 2010","Gelechiinae Stainton, 1854",This name is accepted,"Borkhausenia zonula Gerasimov, 1930","Zootaxa, 2502, 48",,
"Perioristica Walsingham, 1910","Anacampsinae Bruand, 1850",This name is accepted,"Perioristica chalcopera Walsingham, 1910","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 31",,
"Pessograptis Meyrick, 1923","Anacampsinae Bruand, 1850",This name is accepted,"Pessograptis thalamias Meyrick, 1923","Exotic Microlepidoptera, 3, 29",,
"Petalostomella Fletcher, 1940",Unassigned,This name is provisionally accepted,,Entomologist's Record and Journal of Variation. 52: 4291,,
"Peucoteles Meyrick, 1931",Unassigned,This name is accepted,"Peucoteles herpestica Meyrick, 1931","Exotic Microlepidoptera, 4, 57",,
"Pexicopia Common, 1958","Apatetrinae Meyrick, 1947",This name is accepted,"Gelechia desmanthes Lower, 1898","Aust. J. Zool., 6, 271 [key], 278",,
"Phaeotypa Turner, 1944",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Phanerophalla Janse, 1960","Anomologinae Meyrick, 1926",This name is accepted,"Phanerophalla knysnaensis Janse, 1960","The Moths of South Africa, 6, 206",,
"Pharangitis Meyrick, 1905",Unassigned,This name is provisionally accepted,,Journal of the Bombay Natural History Society. 16: 5540,,
"Phloeocecis Chrétien, 1908","Gelechiinae Stainton, 1854",This name is accepted,"Phloeocecis cherregella Chrétien, 1908","Bulletin De La Société Entomologique De France, 1908, 91",,
"Photodotis Meyrick, 1911",Unassigned,This name is accepted,"Photodotis prochalina Meyrick, 1911","Annals of the Transvaal Museum, 2, 229",,
"Phricogenes Meyrick, 1931","Anacampsinae Bruand, 1850",This name is accepted,"Phricogenes sophronopa Meyrick, 1931","Exotic Microlepidoptera, 4, 71",,
"Phrixocrita Meyrick, 1935","Apatetrinae Meyrick, 1947",This name is accepted,"Phrixocrita aegidopis Meyrick, 1935","Exotic Microlepidoptera, 4, 561",,
"Phthorimaea Meyrick, 1902","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia operculella Zeller, 1873","Entomologist’s Monthly Magazine, 38, 103",,
"Phylopatris Meyrick, 1923","Gelechiinae Stainton, 1854",This name is accepted,"Phylopatris terpnodes Meyrick, 1923","Exotic Microlepidoptera, 3, 14",,
"Physoptila Meyrick, 1914","Physoptilinae Meyrick, 1914",This name is accepted,"Physoptila scenica Meyrick, 1914","Journal of the Bombay Natural History Society, 22, 777",,
"Pilocrates Meyrick, 1920","Anacampsinae Bruand, 1850",This name is accepted,"Pilocrates prograpta Meyrick, 1920","Exotic Microlepidoptera, 2, 299",,
"Piskunovia Omelko, 1988","Gelechiinae Stainton, 1854",This name is accepted,"Piskunovia reductionis M.M. Omelko, 1988","Entomologicheskoe Obozrenie, 67, 147",,
"Pithanurga Meyrick, 1921","Gelechiinae Stainton, 1854",This name is accepted,"Pithanurga chariphila Meyrick, 1921","Annals of the Transvaal Museum, 8, 68",,
"Pityocona Meyrick, 1918",Unassigned,This name is accepted,"Pityocona xeropis Meyrick, 1918","Exotic Microlepidoptera, 2, 116",,
"Platyedra Meyrick, 1895","Apatetrinae Meyrick, 1947",This name is accepted,"Gelechia vilella Zeller, 1847",Handbk Br. Lepid.: 605,,
"Platymacha Meyrick, 1933",Unassigned,"This name is a synonym of Sphagiocrates Meyrick, 1925",,,,
"Platyphalla Janse, 1951","Gelechiinae Stainton, 1854",This name is accepted,"Platyphalla ochrinotata Janse, 1951","The Moths of South Africa, 5, 299",,
"Plectrocosma Meyrick, 1921","Thiotrichinae Meyrick, 1886","This name is a synonym of Polyhymno Chambers, 1874",,,,
"Plocamosaris Meyrick, 1912","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Pogochaetia Staudinger, 1879","Gelechiinae Stainton, 1854",This name is accepted,"Pogochaetia solitaria Staudinger, 1879","Horae Societatis Entomologicae Rossicae, 15, 310",,
"Polyhymno Chambers, 1874","Thiotrichinae Meyrick, 1886",This name is accepted,"Polyhymno luteostrigella Chambers, 1874","Canadian Entomologist, 6, 246",,
"Porpodryas Meyrick, 1920","Anacampsinae Bruand, 1850",This name is accepted,"Porpodryas prasinantha Meyrick, 1920","Exotic Microlepidoptera, 2, 304",,
"Pragmatodes Walsingham, 1908",Unassigned,This name is accepted,"Pragmatodes fruticosella Walsingham, 1908","Proceedings of the Zoological Society of London, 1907, 928",,
"Prasodryas Meyrick, 1926","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Proactica Walsingham, 1904","Apatetrinae Meyrick, 1947","This name is a synonym of Apatetris Staudinger, 1879",,,,
"Proadamas Meyrick, 1929",Unassigned,This name is provisionally accepted,,,,
"Prodosiarcha Meyrick, 1904",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Prolita Leraut, 1993","Gelechiinae Stainton, 1854",This name is accepted,,"Alexanor, 18, 182",,
"Promolopica Meyrick, 1925","Anacampsinae Bruand, 1850",This name is accepted,"Promolopica epiphanta Meyrick, 1925","Genera Insectorum, 184, 18 [key], 118",,
"Prophoraula Meyrick, 1922","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Proselotis Meyrick, 1914",Unassigned,This name is accepted,"Proselotis sceletodes Meyrick, 1914","Exotic Microlepidoptera, 1, 276",,
"Prosodarma Meyrick, 1925",Unassigned,This name is accepted,"Onebala fibularis Meyrick, 1921","Genera Insectorum, 184, 5 [key], 244",,
"Prostomeus Busck, 1903",Unassigned,This name is accepted,"Prostomeus brunneus Busck, 1903",Proceedings of the United States National Museum 25: 837,,
"Proteodoxa Meyrick, 1938",Unassigned,This name is accepted,"Proteodoxa cirrhopa Meyrick, 1938","Exploration Du Parc National Albert : Mission G. F. De Witte (1933-1935), 14, 15",,
"Protolechia Meyrick, 1903",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Protoparachronistis Omelko, 1986","Gelechiinae Stainton, 1854",This name is accepted,"Protoparachronitis initialis M.M. Omelko, 1986",Sistematika i Ekologiya Cheshuekrylykh dal'nego Vostoka SSSR: 42,,
"Psamathocrita Meyrick, 1925","Anomologinae Meyrick, 1926",This name is accepted,"Gelechia osseella Stainton, [1860] 1861","Genera Insectorum, 184, 15 [key], 40",,
"Pseudarla Clarke, 1965","Gelechiinae Stainton, 1854",This name is accepted,"Pseudarla miranda Clarke, 1965","Proceedings of the United States National Museum, 117, 88",,
"Pseudathrips Povolný, 1986","Gelechiinae Stainton, 1854","This name is a synonym of Parapsectris Meyrick, 1911",,,,
"Pseudochelaria Dietz, 1900","Gelechiinae Stainton, 1854",This name is accepted,"Pseudochelaria pennsylvanica Dietz, 1900","Entomological News, 11, 352",,
"Pseudosophronia Corley, 2001","Anacampsinae Bruand, 1850",This name is accepted,"Ypsolophus exustellus Zeller, 1847","Entomologist’s Gazette, 52, 214",,
"Pseudoteleia Amsel, 1935","Gelechiinae Stainton, 1854","This name is a synonym of Istrianis Meyrick, 1918",,,,
"Pseudotelphusa Janse, 1958","Gelechiinae Stainton, 1854",This name is accepted,"Telphusa probata Meyrick, 1909","The Moths of South Africa, 6, 68",,
"Psoricoptera Stainton, 1854","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia gibbosella Zeller, 1839","Insecta Br. (Lepid.: Tineina): 76 [key], 100",,
"Ptilostonychia Walsingham, 1911",Unassigned,This name is accepted,"Ptilostonychia plicata Walsingham, 1911","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 109",,
"Ptocheuusa Heinemann, 1870","Anomologinae Meyrick, 1926",This name is accepted,"Gelechia inopella Zeller, 1839",Die Schmetterlinge Deutschlands und der Schweiz (2)2(1): 288,,
"Ptycerata Ely, 1910","Anomologinae Meyrick, 1926",This name is accepted,"Ptycerata busckella Ely, 1910","Proceedings of the Entomological Society of Washington, 12, 69",,
"Ptychovalva Janse, 1958","Anacampsinae Bruand, 1850",This name is accepted,"Gelechia obruta Meyrick, 1921","The Moths of South Africa, 6, 45",,
"Pycnodytis Meyrick, 1918","Anomologinae Meyrick, 1926",This name is accepted,"Pycnodytis erebaula Meyrick, 1918","Annals of the Transvaal Museum, 6, 15",,
"Pyncostola Meyrick, 1917","Anomologinae Meyrick, 1926",This name is accepted,"Paltodora operosa Meyrick, 1909","Entomologist’s Monthly Magazine, 53, 113",,
"Radionerva Janse, 1951","Apatetrinae Meyrick, 1947",This name is accepted,"Apatetris collecta Meyrick, 1921","The Moths of South Africa, 5, 228",,
"Recurvaria Haworth, 1828","Gelechiinae Stainton, 1854",This name is accepted,"Tinea nanella [Denis & Schiffermüller], 1775",Lepid. Br. (4): 547,,
"Reichardtiella Filipjev, 1931","Anomologinae Meyrick, 1926","This name is a 	synonym of Megacraspedus Zeller, 1839",,,,
"Rhynchotona Meyrick, 1923","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Rifseria Hodges, 1966","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia fuscotaeniaella Chambers, 1878","Proceedings of the United States National Museum, 119, 6 [key], 62",,
"Rotundivalva Janse, 1951","Apatetrinae Meyrick, 1947","This name is a synonym of Apatetris Staudinger, 1879",,,,
"Sarotorna Meyrick, 1904","Apatetrinae Meyrick, 1947",This name is accepted,"Sarotorna eridora Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 259 [key], 322",,
"Sathrogenes Meyrick, 1925","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Sattleria Povolný, 1965","Gelechiinae Stainton, 1854","This name is a synonym of Pseudotelphusa Janse, 1958",,,,
"Sautereopsis Povolný, 1965","Gelechiinae Stainton, 1854","This name is a synonym of Agonochaetia Povolný, 1965",,,,
"Schemataspis Meyrick, 1904","Dichomeridinae Hampson, 1918","This name is a 	synonym of Helcystogramma Zeller, 1877",,,,
"Schistophila Chrétien, 1899","Gelechiinae Stainton, 1854",This name is accepted,"Schistophila laurocistella Chrétien, 1899","Bulletin De La Société Entomologique De France, 1899, 114",,
"Schizovalva Janse, 1951","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia trisignis Meyrick, 1908","The Moths of South Africa, 5, 270",,
"Schmidtnielsenia Povolný, 1987","Gelechiinae Stainton, 1854",This name is accepted,"Schmidtnielsenia nielseni Povolný, 1987","Steenstrupia, 13, 79",,
"Schneidereria Weber, 1957","Gelechiinae Stainton, 1854",This name is accepted,"Schneidereria pistaciella Weber, 1957","Mitteilungen Der Schweizerischen Entomologischen Gesellschaft, 30, 68",,
"Scindalmota Turner, 1919",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Sclerocecis Chrétien, 1908",Unassigned,This name is accepted,"Sclerocecis pulverosella Chrétien, 1908","Bulletin De La Société Entomologique De France, 1908, 142",,
"Sclerocopa Meyrick, 1937","Dichomeridinae Hampson, 1918",This name is provisionally accepted,,Exotic Microlepidoptera. 5: 4524,,
"Sclerophantis Meyrick, 1935",Unassigned,This name is accepted,"Sclerophantis cyanocorys Meyrick, 1935","Exotic Microlepidoptera, 4, 586",,
"Scodes Hodges, 1986","Dichomeridinae Hampson, 1918",This name is accepted,"Dichomeris deflecta Busck, 1909","Moths Am. N. of Mex. 7(1): 10 [key], 136",,
"Scrobipalpa Janse, 1951","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia heliopa Lower, 1900","The Moths of South Africa, 5, 199",,
"Scrobipalpoides Povolný, 1985","Gelechiinae Stainton, 1854",This name is accepted,"Scrobipalpoides obscurus Povolný, 1985","Steenstrupia, 11, 28",,
"Scrobipalpomima Povolný, 1985","Gelechiinae Stainton, 1854",This name is accepted,"Scrobipalpomima neuquenensis Povolný, 1985","Steenstrupia, 11, 4",,
"Scrobipalpopsis Povolný, 1967","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia petasitis Pfaffenzeller, 1866","Acta Ent. Mus. Natn. Pragae, 37, 110",,
"Scrobipalpula Povolný, 1964","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia psilella Herrich-Schäffer, 1854","ČAs. čSl. Spol. Ent., 61, 339",,
"Scrobipalpuloides Povolný, 1987","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia operculella Zeller, 1873","Entomologist’s Monthly Magazine, 38, 103",,
"Scrobischema Povolný, 1980","Gelechiinae Stainton, 1854","This name is a synonym of Tecia Kieffer & Jörgensen, 1910",,,,
"Scrobitasta Povolný, 1985","Gelechiinae Stainton, 1854",This name is accepted,"Scrobitasta varians Povolný, 1985","Steenstrupia, 11, 25",,
"Semiomeris Meyrick, 1923","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Semnostoma Meyrick, 1918","Thiotrichinae Meyrick, 1886","This name is a synonym of Thiotricha Meyrick, 1886",,,,
"Semocharista Meyrick, 1922",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Semophylax Meyrick, 1932","Apatetrinae Meyrick, 1947",This name is accepted,"Psoricoptera apicepuncta Busck, 1911","Exotic Microlepidoptera, 4, 200",,
"Sergeya Ponomarenko, 2008",Unassigned,This name is accepted,,"Cat. Lepid. Russia : 100, 328",,
"Sicera Chrétien, 1908",Unassigned,This name is accepted,"Sicera albidella Chrétien, 1908","Bulletin De La Société Entomologique De France, 1908, 144",,
"Simoneura Walsingham, 1911",Unassigned,This name is accepted,"Simoneura ophitis Walsingham, 1911","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 72",,
"Sinevia Omleko, 1998",Unassigned,"This name is a synonym of Sergeya Ponomarenko, 2008",,,,
"Sinoe Chambers, 1873","Gelechiinae Stainton, 1854",This name is accepted,"Sinoe fuscopalidella Chambers, 1873","Canadian Entomologist, 5, 229, 231",,
"Sitotroga Heinemann, 1870","Apatetrinae Meyrick, 1947",This name is accepted,"Alucita cerealella Olivier, 1789",Die Schmetterlinge Deutschlands und der Schweiz (2)2(1): 287,,
"Smenodoca Meyrick, 1904",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Sophronia Hübner, [1825]","Gelechiinae Stainton, 1854",This name is accepted,"Tinea illustrella Hübner, 1796",Verz. bekannter Schmett.: 407,,
"Sorotacta Meyrick, 1914",Unassigned,This name is accepted,"Sorotacta viridans Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 253",,
"Spermanthrax Meyrick, 1936","Gelechiinae Stainton, 1854","This name is a synonym of Holcophora Staudinger, 1871",,,,
"Sphagiocrates Meyrick, 1925",Unassigned,This name is accepted,"Brachmia lusoria Meyrick, 1922","Genera Insectorum, 184, 11 [key], 183",,
"Sphaleractis Meyrick, 1904",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Sphenogrypa Meyrick, 1920",Unassigned,This name is accepted,"Sphenogrypa syncosma Meyrick in Alluaud & Jeannel, 1920",Voyage Alluaud & Jeannel Afr. or. (Lépid.) 2: 71,,
"Sriferia Hodges, 1966","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia prorepta Meyrick, 1923","Proceedings of the United States National Museum, 119, 6 [key], 65",,
"Stachyostoma Meyrick, 1923",Unassigned,This name is accepted,"Stachyostoma psilodoxa Meyrick, 1923","Exotic Microlepidoptera, 3, 28",,
"Stagmaturgis Meyrick, 1923",Unassigned,This name is accepted,"Stagmaturgis catharosema Meyrick, 1923","Exotic Microlepidoptera, 3, 25",,
"Stegasta Meyrick, 1904","Gelechiinae Stainton, 1854",This name is accepted,"Stegasta variana Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 258 [key], 313",,
"Stenoalata Omelko, 1998",Unassigned,This name is accepted,"Stenoalata macra M.M. Omelko, 1998","Biol. Issled. Gornot. Stants., 4, 229",,
"Stenolechia Meyrick, 1894","Gelechiinae Stainton, 1854",This name is accepted,"Phalaena gemmella Linnaeus, 1758","Entomologist’s Monthly Magazine, 30, 230",,
"Stenolechiodes Elsner, [1996]","Gelechiinae Stainton, 1854",This name is accepted,"Stenolechiodes pseudogemmellus Elsner, 1995","Klapalekiana, 31, 74",,
"Stenovalva Amsel, 1955","Gelechiinae Stainton, 1854",This name is accepted,"Stenovalva ghorella Amsel, 1955",Bull. Inst. r. Sci. nat. Belg. 31 (83): 9,,
"Steremniodes Meyrick, 1923",Unassigned,This name is provisionally accepted,,Exotic Microlepidoptera. 3: 4506,,
"Stereodmeta Meyrick, 1931",Unassigned,This name is accepted,"Stereodmeta xylodeta Meyrick, 1931","Exotic Microlepidoptera, 4, 65",,
"Stereomita Braun, 1922",Unassigned,This name is accepted,"Stereomita andropogonis Braun, 1922","Entomological News, 33, 43",,
"Sterrhostoma Meyrick, 1935",Unassigned,This name is accepted,"Sterrhostoma heterogastra Meyrick, 1935","Exotic Microlepidoptera, 4, 587",,
"Stibarenches Meyrick, 1930",Unassigned,This name is accepted,"Stibarenches bifissa Meyrick, 1930","Annalen Des Naturhistorischen Museums in Wien, 44, 228",,
"Stigmatoptera Hartig, 1936","Thiotrichinae Meyrick, 1886","This name is a synonym of Polyhymno Chambers, 1874",,,,
"Stiphrostola Meyrick, 1923","Anacampsinae Bruand, 1850","This name is a 	synonym of Mesophleps Hübner, [1825]",,,,
"Stomopteryx Heinemann, 1870","Anacampsinae Bruand, 1850",This name is accepted,"Gelechia detersella Zeller, 1847",Die Schmetterlinge Deutschlands und der Schweiz (2)2(1): 324,,
"Streniastis Meyrick, 1904",Unassigned,This name is accepted,"Paltodora thermaea Lower, 1897","Proceedings of the Linnean Society of New South Wales, 29, 258 [key], 428",,
"Strenophila Meyrick, 1913",Unassigned,This name is provisionally accepted,,"Annals of the Transvaal Museum 3, 267-336: 1198",,
"Streyella Janse, 1958","Gelechiinae Stainton, 1854",This name is accepted,"Streyella pallidigrisea Janse, 1958","The Moths of South Africa, 6, 99",,
"Strobisia Clemens, 1860",Unassigned,This name is accepted,"Strobisia iridipennella Clemens, 1860","Proceedings of the Academy of Natural Sciences of Philadelphia, 12, 164",,
"Struempelia Amsel, 1977","Anomologinae Meyrick, 1926","This name is a synonym of Horridovalva Sattler, 1967",,,,
"Symbatica Meyrick, 1910",Unassigned,This name is provisionally accepted,,Annals of the South African Museum. 5: 1182,,
"Symbolistis Meyrick, 1904",Unassigned,This name is accepted,"Symbolistis orophota Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 257 [key], 413",,
"Symmetrischema Povolný, 1967","Gelechiinae Stainton, 1854",This name is accepted,"Phthorimaea plaesiosema Turner, 1919","Acta Ent. Bohemoslovaca, 63, 53, 58",,
"Symphanactis Meyrick, 1925","Anacampsinae Bruand, 1850",This name is accepted,"Ptocheuusa hetaera Meyrick, 1914","Genera Insectorum, 184, 15 [key], 101",,
"Synactias Meyrick, 1931",Unassigned,This name is accepted,"Synactias micranthis Meyrick, 1931","The Journal of the Linnean Society of London Zoology, 37, 278",,
"Syncathedra Meyrcik, 1923",Unassigned,This name is provisionally accepted,,Exotic Microlepidoptera. 3: 4506,,
"Syncopacma Meyrick, 1925","Anacampsinae Bruand, 1850","This name is a synonym of Aproaerema Durrant, 1897",,,,
"Syncratomorpha Meyrick, 1929","Anacampsinae Bruand, 1850",This name is accepted,"Syncratomorpha euthetodes Meyrick, 1929","Exotic Microlepidoptera, 3, 509",,
"Syndesmica Turner, 1919",Unassigned,This name is provisionally accepted,,Proceedings of the Royal Society of Queensland. 31: 7926,,
"Syneunetis Wallengren, 1881","Anomologinae Meyrick, 1926","This name is a 	synonym of Ptocheuusa Heinemann, 1870",,,,
"Syngelechia Janse, 1958","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia psimythota Meyrick, 1913","The Moths of South Africa, 6, 97",,
"Syrmadaula Meyrick, 1918",Unassigned,This name is accepted,"Syrmadaula automorpha Meyrick, 1918","Annals of the Transvaal Museum, 6, 26",,
"Tabernillaia Walsingham, 1911",Unassigned,This name is accepted,"Tabernillaia ephialtes Walsingham, 1911","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 53",,
"Tahla Dumont, 1932",Unassigned,This name is accepted,"Tahla zadiella Dumont, 1932",Livre Cent. Soc. ent. Fr.: 716,,
