Authors,Year,Title 
"Stanoiu, I., B. Bobirnac, and S. Copacescu",1979,"Fluturi din Romania. Scrisul Romanesc, Craiova, 294 pp."
"Staudinger, O.",1885,Einige neue Lepidopteren des europaischen Faunengebietes. Stett. ent. Z. 46: 349–352.
"Steuer, H.",1988,"Die Mitteleuropaischen Arten der Gattungen Teleiodes Sattler, 1960 und Exoteleia"
"Svensson, I. ",1962,Nordiska Bryotropha Hein. Flora og Fauna 68: 61–69.
"Svensson, I. ",1976,Anmarkningsvarda fynd av Microlepidoptera Sverige 1975. Ent. Tidskr. 97(3–4): 124–134.
"Svensson, I. ",1977,Anmarkningsvarda fynd av Microlepidoptera Sverige 1976. Ent. Tidskr. 98: 37–43.
"Svensson, I. ",1980,Remarkable finds of Microlepidoptera in Sweden 1979. Ent. Tidskr. 101: 75–86.
"Svensson, I. ",1985,Anmarkningsvarda fynd av Microlepidoptera Sverige 1984. Ent. Tidskr. 106: 71–82.
"Svensson, I. ",1991,Anmarkningsvarda fynd av Microlepidoptera Sverige 1990. Ent. Tidskr. 112: 65–72.
"Svensson, I. ",1992,"Monochroa inflexella n. sp. (Lepidoptera, Gelechiidae). Ent. Tidskr. 113: 47–51."
"Svensson, I. ",1993,Anmarkningsvarda fynd av Microlepidoptera Sverige 1993. Ent. Tidskr. 115(1–2): 45–52.
"Svensson, I. ",1995,Anmarkningsvarda fynd av Microlepidoptera Sverige 1995. Ent. Tidskr. 117(1–2): 49–57.
"Szaboky, Cs. ",1996,Molyfaunisztikai ujdonsagok II (New faunistic data of moth species from Hungary II). Folia ent. hung. 57: 309–313.
"Szaboky, Cs. ",1998,Molyfaunisztikai ujdonsagok III (New faunistic data of moth species from Hungary III). Folia ent. hung. 59: 305–308.
"Szocs, J.",1971,"A lepkehernyok termeszetes tapnovenyei, II. Fol. ent. hung. 24: 443–463."
"Szocs, J.",1977,"Lepidoptera – Aknak es gubacsok – Hyponomia et Cecidia Lepidoptorum. Fauna Hung. 16, 424 pp. Budapest."
"Sulcs, A.",1968,"Ein weitverbreiteter Fichtenblutenschadling, Acanthophila piceana n. sp. (Lepidoptera, Gelechiidae), in Lettland. Dtsch. Ent. Z. (N.F.) 15(4/5): 427–430."
"Sulcs, A. and I. Sulcs",1981,"Monochroa simplicella (Lienig & Zeller, 1846), eine verkannte Art (Lepidoptera, Gelechiidae). Notulae Entomol. 61: 67–70."
"Sulcs, A. and I. Sulcs",1987,Neue und wenig bekannte Arten der Lepidopteren–Fauna Lettlands. 11. Mitteilung. Notulae Entomol. 67: 141–145.
"Sulcs, A. and I. Sulcs",1989,Neue und wenig bekannte Arten der Lepidopteren–Fauna Lettlands. 12. Mitteilung. Notulae Entomol. 69: 67–72.
"Sumpich, J. and M. Dvorak",1997,"Motyli (Lepidoptera) udoli reky Brtnice (Ceskomoravska vrchovina, okr. Juhlava). Vlastived. Sbor. Vysociny, Oddil Ved Prir., Jihlava 13(1997): 111–153."
"Tilden, J.W. ",1951,"Microlepidoptera associated with Baccharis pilularis II. Tortricidae, Phaloniidae, Gelechiidae. Wasmann J. Biol. (San Francisco) 9: 239–254."
"Tokar, Z. and A. Reiprich",1986,"Nove nalezy motyl’ov z oblast’ Slovenskeho raja. Zbor. Vychodoslov. Muz., Prir. Vedy, Kosice 27: 127–135."
"Tokar, Z. and A. Reiprich",1989,"Nove nalezy motyl‚Äôov pre oblast‚Äô Slovenskeho raja a okolia Spisskej Novej Vsi z rokov 1986–1988. Zbor. Vychodoslov. Muz., Prir. Vedy, Kosice 30: 71–81."
"Tokar, Z., F. Slamka, and G. Pastoralis",1996,New and remarkable records of Lepidoptera from Slovakia in 1994. Entomofauna carpathica 8(3): 88–107.
"Treitschke, F.",1833,"Schaben. In F. Ochsenheimer, Die Schmetterlinge von Europa. Band 9. Leipzig. E. Fleischer. 262 pp."
"Turner, A.J. ",1919,The Australian Gelechianae. Proc. Roy. Soc. Queensld. (Brisbane) 31: 108–172.
"Ueda, T.",1995,"The Genus Helcystogrmma (Lepidoptera, Gelechiidae) of Japan. Jpn. J. Ent. 63(2): 377–387."
"Ueda, T.",1997,"A revision of the Japanese species of the genus Anarsia Zeller (Lepidoptera, Gelechiidae). Tyo to Ga 48(2): 73–93."
"Ueda, T. and Y. Fujiwara",2005,"A new species of the genus Thiotricha (Lepidoptera, Gelechiidae) associated with Symplocos prunifolia (Symplocaceal), with a biological note on immature stages and a taxonomic comment on the Japanese Thiotricha species. Trans. Lepid. Soc. Japan 56(1): 73–84."
"Ueda, T., T. Ohno, and T. Hirowatari",1999,"The occurrence of Chorivalva bisaccula Omelko (Lepidoptera, Gelechiide) in Japan. Trans. lepid. Soc. Japan 50(1): 57–59."
"Ueda, T. Y. Yamate, and I. Sagara",1995,"Gelechiid fauna of Asa Town, Asakita–ku, Hiroshima City. Tyo to Ga 46(3): 129–136, 145–152."
"Varenne, T. and J. Nel",2020,Descriptions d'Elachista laurikailai sp. n. et de Stomopteryx pyrenaella sp. n. Revue d ƒæAssociation Roussillonnaise ƒèEntomologie. 29(3): 208–214.
"Vargas, H.A. ",2022,"Scrobipalpulopsis aguilaensis sp. nov. (Lepidoptera, Gelechiidae), the first representative of the genus discovered in the Atacama Desert, northern Chile. ZooKeys 1114: 105–119."
"Vavra, J., I. Novak, J. Liska, and J. Skyva",1996,Motyli fauna prirodni rezervace “Hradcanske rybniky” u Mimone (Lepidopteran fauna of the nature reserve “Hradcanske rybniky” near Mimon) (Lepidoptera). Klapalekiana 32: 89–121.
"Vives Moreno, A. ",1994,"Catalogo sistematico y sinonimico de loslepidopteros de la Peninsula Iberica y Baleares (Insecta: Lepidoptera) (Segunda Parte). Ministerio de Agricultura, Pesca y Alimentacion, Madrid, 775 pp."
"Vlach, V.",1938,Prispevek k soupisu ceskych Microlepidopter. Cas. Cs. Spolec. Entomol. 35: 29–30.
"Walker, F.",1864,"List of the specimens of the lepidopterous insects in the collection of the British Museum 29: Tineites, pp. IV+564+835. London."
"Wallengren,",1881,"(Insecta, Lepidoptera, Gelechiidae). Rudolstadter nat. hist. Schr. 1: 77–88."
"Walsingham, L. [De Grey, T.] ",1989,"Monograph of the genera correcting Tinaegeria, Wlk., with Eretmocera, Z. Transactions of the Entomological Society of London 1989: 1–40, pl. 1–6."
"Walsingham, L. [De Grey, T.] ",1892,"On the micro–lepidoptera of the West Indies. Proceedings of the Zoological Society of London 1891: 492–549, pl. 41.z"
"Walsingham, T. de G. ",1897,"Revision of the West Indian Micro–lepidoptera, with descriptions of new species. Proc. Zool. Soc. London 1897: 54–182."
"Weber, P.",1948,"Flügelform und Geäder der europäischen Gelechiidae. Mitteilungen der Schweizerischen Entomologischen Gesellschaft 21 (2): 215–232, pl. 1–16."
"Wolff, N.L.",1958,"Further Notes on the Stomopteryx Group (Lep., Gelechiidae). Ent. Meddr. 28: 224–281."
"Yang, J.",1977,Moths of China. 299. Beijing.
"Zeller, P.C. ",1839,"Versuch einer naturgemassen Einteilung der Schaben. Isis, Jena 1838: 167–220."
"Zimmerman, E.",1978,"Microlepidoptera. Insects of Hawaii 9: [i–xx], 1–1903. University of Hawaii Press, Honolulu."
