Authors,Year,Title 
"Goeden, R.D. and D.W. Ricker",1976,"The Phytophagous Insect Fauna of the Ragweed, Ambrosia psilostachya , in Southern California. Environmental Entomology (Lanham) 5: 1169–1177."
"Gozmany, L.A.",1954,Studies on Microlepidoptera. Annales Historico–Naturales Musei Nationalis Hungarici 5: 273–285.
"Gozmany, L.A.",1957,"Notes on the generic group Symmoca Hbn. (Lep. Gelechiidae). Annales Historico–Naturales, Musei Nationalis Hungarici3 (1–2): 107–135."
"Gozmany, L.A.",1958,Microlepidoptera IV. Fauna Hung. 40: 1–295.
"Gyen, W. van.",1913,Descriptions of Chili microlepidoptera. Bol. Mus. Nacional (Santiago) 5: 338–340.
"Hartmann, A. ",1880,"Die Kleinschmetterlinge des europaischen Faunengebietes. Erscheinungszeit der Raupen und Falter, Nahrung und biologische Notizen. Mitt. Munch. Ent. Ver. 4: 1–122."
"Hartig, F.",1964,Microlepidotteri dellaVenezia Tridentina e delle regioni adiacenti. Parte III. (Fam. Gelechiidae–Micropterygidae). Studi trent. Sci. nat. 41(3–4): 1–292.
"Hauder, F.",1912,"Beitrag zur Mikrolepidopteren–Fauna Oberosterreichs. Linz, 321 pp."
"Heckford, R.J.",1991,"The female genitalia of Syncopacma vinella (Bankes) and S. albipalpella (Herrich–Schaffer) (Lepidoptera: Gelechiidae), two species confused by Pierce & Metcalfe. Ent. Gaz. 42: 227–230."
"Heinemann, H.",1870,Die Schmetterlinge Deutschlands und der Schweiz. 2. Abteilung Kleinschmetterlinge. 2. Die Motten und Federmotten. Heft 1. 388 pp. Braunschweig.
"Hellrigl, K. ",1996,"Massenauftreten der amerikanischen Robinien–Blattaschenomotte in Sudtirol und Vorkommen anderer eingeschleppter Pflanzen–und Vorratsschadlinge. Landesforstdienst, Autonome Prov. Bozen, Info 3/96: 3–5."
"Heppner, J.B. and H. Inoue",1992,"Gelechiidae. Lepidoptera of Taiwan. Vol. 1, part 2, 276 pp. Gainesville, Florida."
"Hering, M.",1932,"Die Schmetterlinge nach ihren Arten dargestellt. Die Tierwelt Mitteleuropas. Erganzungsband I. Vrlg. Quel–le & Meyer, Leipzig, 545 pp."
"Hering, E.M. ",1957,"Bestimmungstabellen der Blattminen von Europa. Bd. 1–3. W. Junk, Gravenhage, 1185 pp. (Bd. 1, 2); 221 pp., 86 Taf. (Bd. 3)."
"Herrich–Schaffer, G.A.W.",1847–55,Die Schaben und Federmotten. In Systematische Bearbeitung der Schmetterlinge von Europa. Bd. 5. Regensburg. G.J. Manz. 394 pp.
"Hodges, R.W. ",1978,"Gelechioidea, Cosmopterigidae. Moths America north of Mexico, 6.1: [i]–x + 1–166, pl. 1–6."
"Hodges, R.W. ",1983,"Gelechioidea, pp. 11–25. In Hodges, R.W., et al. (eds), Check List of the Lepidoptera of America North of Mexico. London: E.W. Classey Ltd. and the Wedge Entomological Research Foundation."
"Hodges, R.W. ",1986,"Gelechioidea, Gelechiidae (part). Moths of America North of Mexico, 7.1: [i]–xiii + 1–195, pl. A–HH, 1–4."
"Hodges, R.W. ",1998,"Gelechioidea, pp. 130–158. In Kristensen, N.P. (ed.), Lepidoptera, Moths and Butterflies. Handbook of Zoology/Handbuch der Zoologie 1(1999). Berlin and New York."
"Hodges, R.W. ",1999,"The Moths of America North of Mexico. Fasc. 7.6. Gelechioidea, Gelechiidae(Part –Chionodes). Washington. Wedge Ent. Res. Found. 339 pp, 5 pl."
"Hodges, R.W. and V.O. Becker",1990,Nomenclature of some Neotropical Gelechiidae (Lepidoptera). Proc. Ent. Soc. Washington 92: 76–85.
"Hruby, K.",1964,"Prodromus Lepidopter Slovenska. Prodromus Lepidopterorum Slovaciae. SAV, Bratislava, 962 pp."
"H√ºbner, J.",1796–[1834],"Sammlung europaischer Schmetterlinge, Horde VIII. Tineae–Schaben. Augsburg: H√ºbner/Geyer. 78 pp, 71 pls."
"Huemer, P.",1988,A taxonomic revision of Caryocolum (Lepidoptera: Gelechiidae). Bull. Br. Mus. Nat. Hist. (Ent.) 57: 439–571.
"Huemer, P.",1989a,"Eine neue, gallenerzeugende Caryocolum–Art aus Mitteleuropa (Lepidoptera: Gelechiidae). Nota lipid. 12(1): 21–28."
"Huemer, P.",1989b,Bemerkenswerte Funde von Caryocolum–Arten aus den Sudalpen und dem Mediterraneum. NachrBl. Bayer. Ent. 38(2): 37–40.
"Huemer, P.",1991a,"Caryocolum delphinatella (Constant) sp. rev., a senior synonym of C. fiorii (Klimesch) (Lepidoptera: Gelechiidae). Tijd. Ent. 134: 31–34."
"Huemer, P.",1991b,Gelechia sestertiella auct. – ein Artenkomplex (Lepidoptera: Gelechiidae). Nota lepid. 14(2): 115–130.
"Huemer, P.",1992,Der Teleiodes vulgella–Artenkomplex in Europa (Lepidoptera: Gelechiidae). Z. ArbGem. Ost. Ent. 44(1/2): 1–14.
"Huemer, P.",1993a,The British species of Caryocolum Gregor & Povolny. Br. J. Ent. nat. Hist. 6: 145–157.
"Huemer, P.",1993b,Europaische Arten der Gattung Thiotricha (=Reuttia) (Lepidoptera: Gelechiidea). Nota lepid. 16(1): 44–56.
"Huemer, P.",1993c,"Caryocolum viscariella (Stainton) und C. albifaciella (Heinemann) sp. rev., zwei distinct Arten (Lepidoptera: Gelechiidae). Z. ArbGem. ost. Ent. 45(1/2): 27–34."
"Huemer, P.",1996a,Monochroa lucidella immaculatella ssp. N. aus den Verlandungszonen des Kalterer Sees in Sudtirol (Italien) (Lepidoptera: Gelechiidae). Z. ArbGem. ost. Ent. 48: 23–28.
"Huemer, P.",1996b,"Gnorimoschema nilsi sp.n. – eine bemerkenswerte neue Shcmetterlingsart aus dem Gebiet des Nationalparks Hohe Tauern (Osttirol, Osterreich) (Lepidoptera: Gelechiidae). Wissenschaftliche Mitteilungen aus dem Nationalpark Hohe Tauern 2: 75–86."
"Huemer, P.",1997,"Sattleria basistrigella (Muller–Rutz, 1934), ein invalider Name (Lepidoptera: Gelechiidae). Mitt. schweiz. ent. Ges. 70: 285–288."
"Huemer, P.",1998,"A new endemic species of Acompsia from the Alps (Lepidoptera, Gelechiidae). Linzer biol. Beitr. 30(2): 515–521."
"Huemer, P.",2021,"Metzneria neli Huemer, sp. n., a new species hitherto mixed with M. tristella Rebel, 1901 (Lepidoptera: Gelechiidae). SHILAP Revista de lepidopterolog√≠a, 49(196): 647–655."
"Huemer, P. and O. Karsholt",1998,"A review of the Old World Scrobipalpula (Gelechiidae), with special reference to central and northern Europe. Nota lepid. 21(1): 37–65."
"Huemer, P. and O. Karsholt",1999,"Gelechiidae I (Gelechiinae: Teleiodini, Gelechiini). In Huemer, P., Karsholt, O., and Lyneborg, L. (eds.), Microlepidoptera of Europe 3. Apollo Books,Stenstrup."
"Huemer, P. and G. Luquet",1992a,"De I’identite de Lita repentella Chretien, 1908 (Lepidoptera, Gelechiidae). Nota lepid. 15(1): 29–40."
"Huemer, P. and G. Luquet",1992b,Quatre Microlepidopteres nouveaux pour la faune de France. Alexanor 17(7): 421–425.
"Huemer, P. and K. Sattler",1992,Erganzende Bemerkungen zur Speziation alpine Sattleria (Lepidoptera: Gelechiidae). Z. ArbGem. ost. Ent. 44(3/4): 59–73.
"Huemer, P. and K. Sattler",1995,A taxonomix revision of Palaearctic Chionodes (Lepidoptera: Gelechiidae). Beitr. Ent. 45(1): 3–108.
"Huemer, P. and G. Tarmann",1993,"Die Schmetterlinge Osterreichs (Lepidoptera). Systematisches Verzeichnis mit Verbreitungsangaben fur die einzelnen Bundeslander. Veroff. Mus. Ferdinandeum Innsb. 5(Beilage), 224 pp."
"Huisman, K.J. and J.C. Koster",1996,Nieuwe en interessante Microlepidoptera uit Nederland in het jaar 1993 (Lepidoptera). Ent. Ber. Amst. 56(3): 37–55.
"Inoue, H.",1954,Check List of the Lepidoptera of Japan. Part I. 53–74 pp. Tokyo.
"Issiki, S.",1957,"Gelechiidae. In Esaki, T. et al. (eds.), Icones  Heterocerorum Japonicorum in Coloribus Naturalibus. 39–47 pp. Osaka."
"Ivinskis, P. ",1982,"[138 Lepidoptera species new to the Lithuanian SSR, found in 1968–1982]. In Novye I redkie dlya Litovskoj SSR vidy nasekomykh. Soobshcheniya I opisaniya 1982 goda: 28–47 [In Russian]."
"Ivinskis, P.",1993,"Check–list of Lithuanian Lepidoptera. Ekologijos Institutas, Vilnius, 210 pp."
"Ivinskis, P. and V.I. Piskunov",1981,"Review of Palaearctic species of genus Filatima Busck, 1939 and 167 description of new female of species Filatima ukrainica Piskunov, 1971, feminia nova (Lepidoptera, Gelechiidae) found on Lithuanian coast of the Baltic Sea. Trudy Akad. Nauk. Litovskoj SSR, seris B, 4(76): 47–52."
"Ivinskis, P. and V.I. Piskunov",1994,Some data on Gelechiidae (Lepidoptera) of Central Asia and Armenia. Acta Entomol. Lituanica 12: 35–47.
"Janovsky, M. ",1991,Motyli (Lepidoptera) Zoboru. Zobor 2. Nitra: 203–219.
"Janovsky, M. and A. Reiprich",1989,"Lepidoptera raseliniste Rudne u Suche Hory. Zbor. Slov. Nar. Muz. Prir. Vedy, Bratislava 35: 29–50."
"Janse, A.J.T.",1949–1954,Gelechiadae. Moths South Africa 5: 1–464.
"Janse, A.J.T.",1958–1963,Gelechiadae. Moths South Africa 6: 1–284.
"Jansen, M.G.M.",1998,"Bemerkungen zur Taxonomie der in den Niederlanden Vorkommenden Arten der Gattung Scrobipalpa Janse (Lepidoptera: Gelechiidae). Verh. Westdeutschland Ent. Tag 1997, 145–157."
"Jepson, W.L. ",1925,A Manual of the Flowering Plants of California. Berkeley. Univ. Calif. Pr. 1238 pp.
"Kaitila, J.P.",1996,Suomaen jaytajakoiden (Gelechiidae) elintavat. Baptria 21: 81–105.
"Kanazawa, I. ",1985,Description of a new genus and a new species of Gelechiidae from East Asia (Lepidoptera: Gelechiidae). Bulletin of the Osaka Museum of Natural History 38: 5–16.
"Kanazawa, I. and J.B. Heppner",1992,"Gelechiidae. In Heppner, J.B. and H. Inoue (eds.), Lepidoptera of Taiwan. Vol. 1, Part 2, 276 pp. Gainsville, Florida."
"Karsholt, O. ",1981,"Northern European species of the genus Caryocolum Gregor et Povoln√Ω, feeding on Cerastium and Stelaria, with the description of a new species (Lepidoptera, Gelechiidae). Ent. Scand. 12: 251–270."
"Karsholt, O. ",1995,"Kommentiertes Verzeichnis der Symmocidae, Blastobasidae und Gelechiidae Ostdeutschlands (Lepidoptera). Beitr. Ent. 45(1): 137–154."
"Karsholt, O. and P. Huemer",1995a,Additions and corrections to the Gelechiidae fauna of  Italy (Lepidoptera). Boll. Zool. agr. Bachic. Ser. II 27(1): 1–17.
"Karsholt, O. and P. Huemer",1995b,Lepidoptera Gelechioidea – Gelechiidae. Checklist delle specie della Fauna Italiana 83: 28–41.
