Gelechiidae species name,GBIF taxonKey,Host Plants
Dichomeris acuminatus Staudinger,1847111,Aeschynomene americana; Cajanus; Cajanus cajan; Codariocalyx gyroides; Cyamopsis; Cyamopsis tetragonoloba; Desmodium; Desmodium gyroides; Glycine max; Indigofera; Indigofera pseudotinctoria; Indigofera tinctoria; Lotus rectus; Medicago; Medicago sativa; Pisum sativum; Sesbania; Sesbania sericea; Sesbania sesban; Tephrosia; Tephrosia candida; Tephrosia maxima; Tephrosia purpurea; Tephrosia toxicaria; Tephrosia vogelii; Trifolium pratense; Trifolium repens
Dichomeris adelocentra Meyrick,1846982,Bridelia tomentosa
Dichomeris aenigmatica Clarke,1846969,Pluchea odorata
Dichomeris aglaia Hodges,1846914,Eupatorium capillifolium
Dichomeris agonia Hodges,1847506,Aster; Oenothera; Solidago
Dichomeris alacella Zeller,1847296,Picea
Dichomeris aleatrix Hodges,1847446,Helianthus; Helianthus hirsutus; Helianthus pauciflorus pauciflorus; Solidago
Dichomeris allantopa Meyrick,1847433,Dalbergia sissoides
Dichomeris antisticha Meyrick,1847164,Terminalia tomentosa
Dichomeris antisticta Meyrick,,Terminalia tomentosa
